,Review_title,Review_text,Ratings
18,Good choice,"It is worth laptop who like to prefer to attending online classes, watching movies, simple ms office works. It built quality was good and key board was average it is 180 degree screen rotation.when to talk about performance we can tell average and we unable to run multi apps at a time and it takes long time to restart when laptop is updated and it has average camera quality and when compare to other laptops it not have LAN support and main drawback was we don’t know if caps lock is on or off...
READ MORE",4
19,Good,"Writing this review after full 24 hours of putting this machine to grind. I bought this with a certain kind of apprehension, wondering the budget I had, the choice made after thorough research and the product chosen would cater to my needs or not? However, this piece of beauty is well equipped to go smoothly with my expectations of a big clear display, clear voice and word/pdf typing/reading works. A word of caution to the gamers though.. Don't go for this if you are into high end games. Othe...
READ MORE",3
20,Awesome,"Awesome laptops I love it
Performance is very nice 1 day delivered
Really I love it Thank you for Flipkart",5
21,Waste of money!,"The webcam quality for video calls is very bad
And it takes aloot of time to open each file or folder
And the display quality is not good.
For basic kids use only .
only look wise its good
Don't buy better add little more money and buy i3/i5",1
22,Worthless,"Overall below average laptop not worth buyin nothing noteworthy pretty much not worth the money
Ps: not recommended to buy only if u can custom install and remove the stock parts",1
23,Must buy!,Best laptop in given prize range..battery was gud but processor running slow..overall laptop was good for simple works,5
24,Super!,"1. Delivery was sooo fast.... Thanks a lot for that. Seller and Ekart.

2. Design- Good and weight also perfect for carrying.

Keypad color is not adjusted as per the product color. It is very problematic to use. No capslock indicator as well as numlock indicator. All USB ports are in one side.

3. Screen - Very good. It's carefully for eye. Very soft looking. Display quality is very good.

5. Performance- Good. Little bit slow to open excel those are greater than 1mb.

6. Battery - Not good...
READ MORE",5
25,Delightful and OverAll Good.,"Very Good in Display Quality.
keyboard /Mouse Good.
Processing is something , just something slow....but its good..
Over All I found this A Great Office work Laptop , so that i want.
5 mein se phir bi 4.5 dunga..",4
26,Wonderful,Best budget laptop if you just need it for basic use and zoom meetings .. satisfied with the product .. recommended,4
27,Good choice,"overall good... value for the price ...but not for heavy works .. it's ok for basic works like web browsing, emails, office works - excell, word etc.",4
28,Excellent,"Nice product for normal & jenuine home use only , and value for money. Proud on me for good choice",5
29,Fabulous!,"Amazing product under this price range. It's stylish design, powerful processor and budget friendly is perfect for basic use. Really thankful to flipkart for delivering this amazing product on time.",5
30,Worth every penny,"It's a decent product at a price of 20000. Does the job at the price point. Dont expect it to behave like i5 or i3.
But overall good product",5
31,Fabulous!,"It's not use for heavy work .. bt ..
If u use normal work ... Exp. . office work .. during class.... Nd normal use . It's performance best in this price .. value of money... Display is also good ..
Keyboard... Average.... Battery backup good 5 hours nd depends on your work nd uses... Nd charging adaptor is so fast charging.. nd camera 📸 is also good work... Nd anyone some questions regarding laptop so .. reply me . Suggest u true.",5
32,Highly recommended,Good quality,5
33,Really Nice,Nice product should buy this if you have low budget,4
34,Highly recommended,"Best products but processor shlow..,",5
35,Delightful,Nice laptop,4
36,Nice,Product is good but battery not strong....,3
37,Awesome,Very Nice feature in low cost,5
38,Wonderful,"On an average laptop , go for it If you only want learning and doing small stuffs😊✌🏻",4
39,Perfect product!,More than expected,5
40,Great product,Very good for normal work,5
41,Decent product,"Design best but no light numeric and caps lock On off.
Performance is lower.
Betry backup Average 3-4 hour.
Display Good.",3
42,Great product,"very nice product in this price range, no hanging issue i recommend you to install asus optimizer for a incredible performance",5
43,Best in the market!,Very nice 👌 product net speed 👌 osm prosesing normal looking *****,5
44,Excellent,Its best for general use like online study.Best at this price.Thanks Flipkart,5
45,Good quality product,Good Laptop for Beginners...,4
46,Best in the market!,Very nice laptop for study and design is very good with osm performance thank u flip kart,5
47,Fair,Nice but for light use only,3
48,Don't waste your money,"Waste product, always hanging while starting the windows it's keep on hanging, packing also very worst.. Please don't buy the product by seeing the photos and features, going to return the product",1
49,Not recommended at all,Dont buy this laptop.. it stopped working within 15 days.. completely switched off.. not getting turned on..,1
50,Mind-blowing purchase,Nice laptop . I am writing this after 15 day use. Best at this price,5
51,Waste of money!,The laptop wont start when received. Flipkart has some misleading claims as now they say that replacement will be done only after Asus technician visits and checks the laptop. So one will end up wasting time and will have to deal with unnecessary haggling for no fault except buying a lemon product from Flipkart. Pathetic fine prints policy.,1
52,Delightful,Nice,4
53,Wonderful,Full laptop is very good but slow 🙂,4
54,Must buy!,Dilevery was two days delay but awesome product,5
55,Very Good,Ok,4
56,Don't waste your money,Laptop stopped responding from today (purchase date 29 Dec 2019),1
57,Wonderful,Best laptop.overall performance is awesome..myst buy,5
58,Absolute rubbish!,Don't ever buy this product trust me you will suffer later...don't buy this product,1
59,Terrible product,"One of the worst laptop ever .Review after 25 days of use. Happens daily . Very slow at performance and requires 20 mins just to start up . On start up it nearly takes 15 mins for any application to open . Hangs continuously . Asus customer service support is also bad , they keep us on hold and never returns the call . Made the worst decision ever purchasing this laptop . Have to spend more to add accessories like RAM etc .",1
60,Awesome,Good laptop,5
61,Simply awesome,"This laptop in so good and look is very wonderful.
Thanks flipkart",5
62,Just okay,The laptop is best in very cheap price,3
63,Must buy!,It was nice product in lower cost,5
64,Not good,slow,2
65,Just okay,Best at this price,3
66,Terrific purchase,"Light weight, much better than expected.
Thank you so much dear flipkart😊🙏
1st day service awsm 👍",5
67,Nice product,"Quality and Design is Super good,
But the only drawback I found after using it for 2 hours is its battery performance..
Processing is some what lagging when I have started it for first time for setting up and installing some programs.
Finally it is enough for that price range..",4
68,Does the job,Very Use ful laptop I Am Very Happy,3
69,Wonderful,Damn good 😍 lovable 😍❤️😘,5
70,Waste of money!,"Slow ....keebord not work
6math",1
71,Did not meet expectations,"7 days work okay but post returned policy laptop got hang, stopped working getting load what..kind of product are selling on your portal??worst product don't waste your money .",1
72,Mind-blowing purchase,it is a good laptop for students but not for gaming It was best expirans for me,5
73,Useless product,"Absolutely waste of money. Do not buy this laptop. It's so slow that you can literally miss whole class by the time it boots and connects. It cannot perform basic documentation even with minimal needs, you can finish 2 cups of tea by the time it is loading applications. Restarting this is absolutely headache and just keep seeing the circle in front. Sometimes it appears that there is no processor inside. Bought it for kids online class with basic functionality but my 'chintoo' threw on day on...
READ MORE",1
74,Brilliant,Its so nice,5
75,Worth the money,Good,4
76,Best in the market!,Chief &best,5
77,Does the job,"Performance not good.... display, battery are good and sound awesome 🔥I expect little more performance..offenly it not switch on, lately on...",3
78,Worth the money,Nice laptop for students. Not for heavy user.Very lite weight laptop and good in performance. Asus give a nice product.,4
79,Value-for-money,Cooling system is very good. As per price range it laptop is Good. Not for heavy task but Good laptop.,4
80,Delightful,😍😘😘😘😍Thanks flipkart &asus,4
81,Absolute rubbish!,Totally disappointed with the product. It was slow right from the first time use. It has started making some noice just after the end of return policy. But the design is really nice and the delivery was made on time.,1
82,Very poor,"Don't waste money on this product.
Its very slow.
Stop inbetween your work.
Takes long time to open file folders everything.
Even you can't take online classes properly in one go from this device its takes large time for every action.",1
83,Don't waste your money,"PRODUCT IS NOT UP TO THE MARK AS SHOWN ON THE WEBSITE , FLIPKART SAY REPLACEMENT POLICY BEWARE THEY EVEN DONT PROVIDE THE PRODUCT UPGRADATION POLICY.
VERY SLOW,
SLOW WIFI CONNECTIVITY,
HANGINNG IN SEARCHING FROM THE TASK BAR.
MAKE SURE DONT FALL FOR THE TRAP LAID BY ASUS.",1
84,Absolute rubbish!,Very very bad products don't buy this product guy's,1
85,Very poor,After 15 days not working this product,1
86,Wonderful,Osam product,4
87,Must buy!,Nice laptop Im happy,5
88,Excellent,Nice product and fast delivery from Flipkart,5
89,Good quality product,"Nyc laptop in this price design is awsm❤️
There is a small lag when we browse..",4
90,Simply awesome,Awsm product means that's too good nd it's processor is also not too slow ..... I m very happy for this I love it 🥰🥰🥰🥰,5
91,Waste of money!,"Very slow, not up to the mark....",1
92,Does the job,Average km,3
93,Perfect product!,Average,5
94,Worth every penny,Tooo good 🤟❤,5
95,Waste of money!,Booting problem add 2 3 more thousand on your budget and get good config laptop.,1
96,Just wow!,very best product,5
97,Perfect product!,Its very beautiful looking so good and stylishly leptop run is,5
98,Good quality product,"Good laptop for daily use
but not for gamer
Screen is good also speaker",4
99,Worthless,"Please don't waste your money on this. It is the worst laptop I have ever used. It takes 5 to 6 min to open simple app like microsoft edge, ms word. Etc. It is too slow can't even rely it for typing",1
100,Don't waste your money,Full hanged laptop,1
101,Wonderful,Best laptop,5
102,Delightful,It is great product in small budget 😊,4
103,"Look and fill is fine, but speed is very slow","I brought this laptop for my kids online classes, Look and fill is fine, but speed is very slow, my recommendation is don't buy this product.",2
104,Hated it!,Don't buy it. It taking longer time to switch on. And processing speed is very slow.,1
105,Waste of money!,Don't even consider this laptop just for cheaper rate. This laptop is a trap in this rate. Just after 3 day use . The laptop now don't even turns on. If by chance it turns on by mistake u can't see anything all blank .,1
106,Useless product,This is most worst laptop i ever purchased it cost me 24000 and then too battery and charging problem starts as soon as u start using it .bilieveme never bythis product,1
107,Very poor,"Very bad product
Display problem",1
108,Nice,"Good for beginners , online classes etc.",3
109,Wonderful,Good,4
110,Awesome,"Awesome laptops I love it
Performance is very nice 1 day delivered
Really I love it Thank you for Flipkart",5
111,Waste of money!,"The webcam quality for video calls is very bad
And it takes aloot of time to open each file or folder
And the display quality is not good.
For basic kids use only .
only look wise its good
Don't buy better add little more money and buy i3/i5",1
112,Worthless,"Overall below average laptop not worth buyin nothing noteworthy pretty much not worth the money
Ps: not recommended to buy only if u can custom install and remove the stock parts",1
113,Must buy!,Best laptop in given prize range..battery was gud but processor running slow..overall laptop was good for simple works,5
114,Super!,"1. Delivery was sooo fast.... Thanks a lot for that. Seller and Ekart.

2. Design- Good and weight also perfect for carrying.

Keypad color is not adjusted as per the product color. It is very problematic to use. No capslock indicator as well as numlock indicator. All USB ports are in one side.

3. Screen - Very good. It's carefully for eye. Very soft looking. Display quality is very good.

5. Performance- Good. Little bit slow to open excel those are greater than 1mb.

6. Battery - Not good...
READ MORE",5
115,Delightful and OverAll Good.,"Very Good in Display Quality.
keyboard /Mouse Good.
Processing is something , just something slow....but its good..
Over All I found this A Great Office work Laptop , so that i want.
5 mein se phir bi 4.5 dunga..",4
116,Wonderful,Best budget laptop if you just need it for basic use and zoom meetings .. satisfied with the product .. recommended,4
117,Good choice,"overall good... value for the price ...but not for heavy works .. it's ok for basic works like web browsing, emails, office works - excell, word etc.",4
118,Excellent,"Nice product for normal & jenuine home use only , and value for money. Proud on me for good choice",5
119,Fabulous!,"Amazing product under this price range. It's stylish design, powerful processor and budget friendly is perfect for basic use. Really thankful to flipkart for delivering this amazing product on time.",5
120,Excellent,Very nice Product Fully satisfied,5
121,Wonderful,Super parformans,5
122,Value-for-money,Just go for it. Very nice ❤️❤️,4
123,Terrific,Value for money it give 1 day battery backup,5
124,Excellent,"Just awesome in this price range
Looks very premium
Performance is also impressive
Just loved it",5
125,Value-for-money,Nice product,4
126,Wonderful,Very good product,4
127,Delightful,Go for it ❤️,4
128,Fabulous!,Really awesome 😄,5
129,Great product,Nice product 👍 thanks Flipkart,5
130,Excellent,Very nice Product Fully satisfied,5
131,Wonderful,Super parformans,5
132,Value-for-money,Just go for it. Very nice ❤️❤️,4
133,Terrific,Value for money it give 1 day battery backup,5
134,Excellent,"Just awesome in this price range
Looks very premium
Performance is also impressive
Just loved it",5
135,Value-for-money,Nice product,4
136,Wonderful,Very good product,4
137,Delightful,Go for it ❤️,4
138,Fabulous!,Really awesome 😄,5
139,Great product,Nice product 👍 thanks Flipkart,5
140,Must buy!,Nice laptop its is not havey this is very beautiful,5
141,Worth every penny,Good,5
142,Good choice,Nice product except for the display.,4
143,Mind-blowing purchase,Ok,5
144,Great product,Nice purchase,5
145,Good,If you really want to buy a good laptop then you have to go with vivobook 15 but if your budget is not so enough and need a of as soon as possible then you can go with....,3
146,Simply awesome,Nice performance in laptop 💻 👌 👏 👍,5
147,Nice product,Valu of maney,4
148,Value-for-money,Good only,4
149,Must buy!,Good,5
150,Excellent,Super,5
151,Classy product,Veen light weight and compact laptop. Suitable for daily light use.,5
152,Good,Update required in 5 days it is very bad product it's brightness is very low,3
153,Nice,"It's heavy
You'll experience lag if you download emulator such as BlueStacks
Leaving this two it's good",3
154,Don't waste your money,Performance very slow,1
155,Pretty good,Good,4
156,Best in the market!,Good one very nice,5
157,Simply awesome,Nice,5
158,Nice product,value for money,4
159,Delightful,Very good,4
160,Fabulous!,It was amazing 🤩🤩🤩,5
161,Waste of money!,"Battery backup is very bad
Screen size is not 14 inch
Built quality is very low",1
162,Good quality product,Good laptop in comparison to its price.,4
163,Wonderful,Easy to use and excellent in budget,4
164,Best in the market!,It's a really good laptop with very stylish looks....Value for money,5
165,Really Nice,Good,4
166,Must buy!,good,5
167,Fair,Good product,3
168,Must buy!,Nice laptop its is not havey this is very beautiful,5
169,Worth every penny,Good,5
170,Good choice,Nice product except for the display.,4
171,Mind-blowing purchase,Ok,5
172,Great product,Nice purchase,5
173,Good,If you really want to buy a good laptop then you have to go with vivobook 15 but if your budget is not so enough and need a of as soon as possible then you can go with....,3
174,Simply awesome,Nice performance in laptop 💻 👌 👏 👍,5
175,Nice product,Valu of maney,4
176,Value-for-money,Good only,4
177,Must buy!,Good,5
178,Nice product,"Writing this after using Vivobook 15 for 3 days consecutively.

Smooth and Fast
Display 10/10
•The Colors, the details and especially the eye care protection feature is a plus point I would like to give. You can work on it like more than 5hrs and its not gonna hurt your eyes trust me.
I like everything about this laptop like Premium look, Light weight, fast processor, fast charging support, expandable memory slots but the only thing which I didn't appreciate is the battery backup. Sadly it gi...
READ MORE",4
179,Good choice,"Day2
Pros
Design looks good
Performance till now for basic process is great
Fp sensor is snappy
Myasus app is good and simple.
Cons
Battery seems to be a downpoint
Camera quality ain't good
Already knew these cons.
Will update after use of 1 week.",4
180,Classy product,Very good for usage after 1 month it is good and now it will faster like new very happy with this product . quality is really awesome .😁,5
181,Moderate,"If you can affort few thousands extra you can prefer other laptops with same config.

I came to know about done limitations of this laptop
-poor webcam not even suitable for day to day online classes
-Sound very low, need to connect external speakers
-Keypad not visible due to same colour of laptop body and keys. Backlight not available.
-Low battery backup

To save cost Asus has done these compromises.

Performance wise doesn't see any issue, but since I'm using HP laptop also these small th...
READ MORE",2
182,Super!,"Design looks good
Performance till now for basic process is great, Colors, the details and especially the eye care protection feature is a plus point, Premium look, Light weight, fast processor, fast charging support. I would like to recommend this laptop for regular users..",5
183,Nice product,Well the performance is nice & have a nice UI but the only thing could have been better is it's battery. Otherwise you can go for this product blindly.,4
184,Mind-blowing purchase,"Using Asus Vivobook 15 had been an incredible journey, since I am using it for over a year now, I think there's no other gadget at this cost that had be able to fulfill all the needs. Its a SSD so its work quite fast, within seconds my home screen is before me. And my main purpose of using it is for MBBS so I feel quite relaxed to study contents from it.",5
185,Good choice,"Highly recommended for students and other professionals who are using Windows office. I am not a heavy user though I do not intend to judge other functions.

- User friendly
- Computer boot in 14 sec
- Fingerprint sensor is OK
- Not impressed with battery life.
- Personally, Windows 11 is impressive.

Go for it if you are not a graphics designer or other professional who needs heavy graphic support.

Purchased it with Rs- 36490/-(including 1500/- off with icici credit card EMI)",4
186,Mind-blowing purchase,"Awesome Laptop
Display5/5
Battery3/5
camera3/5
Design5/5
Keyboard 5/5
quality and build 5/5
color5/5
installation and delivery5/5
This laptop is easy to carry and light weight and Good for daily use☺️
Tnx flipkart for Give my fav laptop❤️",5
187,Delightful,"I got this device at 27k in BBD. At this price range i am satisfied.
Prosss. Slim and light weight,. i3 10 gen is good 4 normal usess in student life, 512ssd that's good,. Display is large,type c port , fingerprint.
Cons. Battery is normal but not good,display is good but not best. Keyboard is not backlit. But I am happy to this device🥰",4
188,Nice product,"Writing this after using Vivobook 15 for 3 days consecutively.

Smooth and Fast
Display 10/10
•The Colors, the details and especially the eye care protection feature is a plus point I would like to give. You can work on it like more than 5hrs and its not gonna hurt your eyes trust me.
I like everything about this laptop like Premium look, Light weight, fast processor, fast charging support, expandable memory slots but the only thing which I didn't appreciate is the battery backup. Sadly it gi...
READ MORE",4
189,Good choice,"Day2
Pros
Design looks good
Performance till now for basic process is great
Fp sensor is snappy
Myasus app is good and simple.
Cons
Battery seems to be a downpoint
Camera quality ain't good
Already knew these cons.
Will update after use of 1 week.",4
190,Classy product,Very good for usage after 1 month it is good and now it will faster like new very happy with this product . quality is really awesome .😁,5
191,Moderate,"If you can affort few thousands extra you can prefer other laptops with same config.

I came to know about done limitations of this laptop
-poor webcam not even suitable for day to day online classes
-Sound very low, need to connect external speakers
-Keypad not visible due to same colour of laptop body and keys. Backlight not available.
-Low battery backup

To save cost Asus has done these compromises.

Performance wise doesn't see any issue, but since I'm using HP laptop also these small th...
READ MORE",2
192,Super!,"Design looks good
Performance till now for basic process is great, Colors, the details and especially the eye care protection feature is a plus point, Premium look, Light weight, fast processor, fast charging support. I would like to recommend this laptop for regular users..",5
193,Nice product,Well the performance is nice & have a nice UI but the only thing could have been better is it's battery. Otherwise you can go for this product blindly.,4
194,Mind-blowing purchase,"Using Asus Vivobook 15 had been an incredible journey, since I am using it for over a year now, I think there's no other gadget at this cost that had be able to fulfill all the needs. Its a SSD so its work quite fast, within seconds my home screen is before me. And my main purpose of using it is for MBBS so I feel quite relaxed to study contents from it.",5
195,Good choice,"Highly recommended for students and other professionals who are using Windows office. I am not a heavy user though I do not intend to judge other functions.

- User friendly
- Computer boot in 14 sec
- Fingerprint sensor is OK
- Not impressed with battery life.
- Personally, Windows 11 is impressive.

Go for it if you are not a graphics designer or other professional who needs heavy graphic support.

Purchased it with Rs- 36490/-(including 1500/- off with icici credit card EMI)",4
196,Mind-blowing purchase,"Awesome Laptop
Display5/5
Battery3/5
camera3/5
Design5/5
Keyboard 5/5
quality and build 5/5
color5/5
installation and delivery5/5
This laptop is easy to carry and light weight and Good for daily use☺️
Tnx flipkart for Give my fav laptop❤️",5
197,Delightful,"I got this device at 27k in BBD. At this price range i am satisfied.
Prosss. Slim and light weight,. i3 10 gen is good 4 normal usess in student life, 512ssd that's good,. Display is large,type c port , fingerprint.
Cons. Battery is normal but not good,display is good but not best. Keyboard is not backlit. But I am happy to this device🥰",4
198,Value-for-money,Best in budget. Not expect more than enough. This is enough 8 gb RAM & 512 GB SSD is giving nice performance...🤩🤩🎉🎉🎉,4
199,Nice product,"Best in quality design.
Excellent quality Display
Best in quality keyboard and TouchPad
Quick and nice fingerprint sensor

Battery life is fine lasts almost 3 hours on full charge
Speakers are of average quality
RAM can be upgraded upto 16 gb but it has only 1 upgradeable memory slot as one slot is already being fixed with the motherboard

Overall must buy laptop if you're looking to buy something around 30k.",4
200,Delightful,This is only for offline & office work person performance is very good in this price bracket.... important note - only one thing I don't like about this laptop is 45%ntsc display ...i think it's manage that because of lower price ...those who wants for multimedia don't go for it ...go for the OLED screen varient ...,4
201,Expected a better product,"Don't buy this limited features like processors i3,
Best future uses wait and add some more buy i5,i7 ...
This laptop has big battery problem.not fast charge.bottom design was plastic coating when u drop it slips parts ohhhh.i recommend to move best featured lap",2
202,Must buy!,Asus vivobook 15 is best laptop under 35000..im totally impressed with this laptop... Flipkart provide fast delivery and very good packaging.. I recommended to buy if you buy a laptop under 35000 than you go for it. Really loved it.. Excellent,5
203,Delightful,"correct in all respects But It just doesn't have the CD drive. Good build quality and nice color Working fine.
Battery 🔋 is good About 6hrs backup. Very good product in all respects",4
204,Super!,Everything is good but when I purchased this it's price is too much high,5
205,Highly recommended,Good,5
206,Nice,All good but battery backup not good enough,3
207,Classy product,Key board good but key calculator not good very small enter key,5
208,Awesome,Good laptop in this price range,5
209,Simply awesome,Good....go for it guys ...good for students and office use... happy 😊 with the laptop... thank you flipkart and Asus,5
210,Good quality product,"Best Laptop 💻 👌 in the segment.
Classy performance 👏 because of ssd memory.
Battery 🔋 is good enough.
Design is so sleeky.
Recommend you to buy.",4
211,Simply awesome,This product is very good for this range i used for 1 week and everything is very good,5
212,Really Nice,"Worthy product with good performance , speed and battery.",4
213,Nice product,Good,4
214,Wonderful,Good budget laptop... Value for money... I loved it ❤,4
215,Worth every penny,I love it ....❣️,5
216,Worth every penny,It’s performance is good ❤️,5
217,Moderate,"I am writing this review after 3 month of usage. if u r reading this review than i would request to think on below points:

1.Battery back up of this product is very poor(3 hr with Battery saver mode on) and takes longer time to charge.
2. Sound system is very very very poor, operator cannot even listen at maximum sound.
3. Built quality of this product is not upto the mark. Made up of Plastic body & u need to handle it very carefully",2
218,Terrific purchase,Nice product 👌🏻,5
219,Classy product,Very good product,5
220,Fabulous!,Great product 👌👌👌,5
221,Highly recommended,Good,5
222,Best in the market!,"Good quality at good price with all specifications
Fingerprint lock is awesome
Best choice",5
223,Absolute rubbish!,Very Bad product do not buy this at all totally waste of money. the battery drains very fast as well as bad camera quality no backlit keyboard.it will work good for 2 months from the date of purchase but after that it start hanging and restart automatically..please do waste your money for buying this product as per my suggestion invest some more amount (7 to 10k) and can go for HP laptops.,1
224,Perfect product!,"The display is good....the audio is good..
Finger print sensor is just snapy💯
Love the product...
You can do all the stuffs including gameing but i will suggest you not to play high graphics games like GTA 5 , IGI etc.
Many of you were having some doubts about its battery life....but trust me it's completely fine and you can go for it...i was also confused about its battery status ..but now my all the doubts are over.🔥
Yes mate you can go for it...💯
Best of luck for you future.🌻",5
225,Awesome,I am really surprised how i got 8gb ram and 512gb ssd.. in this price... 37k only.... Thanku soo soo much,5
226,Wonderful,"Incredible laptop
Performance very good 👍",5
227,Great product,Awesome quality and very likely,5
228,Value-for-money,"For this range only asus provide 8 gb ram and SSD which is absolutely amazing.
Only there is 2 issue with this laptop which is its battery and camera which I was already known.",4
229,Mind-blowing purchase,Good product inthis range,5
230,Worth every penny,Awesome laptop log Budget,5
231,Great product,Nice but battery not good,5
232,Excellent,Good,5
233,Super!,Good quality,5
234,Terrific purchase,Value for money 💰. Good Performance but battery life is only 3-4 hours. But overall Great Laptop.,5
235,Worth the money,First impression is excellent laptop from ASUS. Only CAMERA and BATTERY life is not so good.,4
236,Good quality product,"Good, but battery problem",4
237,Best in the market!,Best laptop you can have,5
238,Brilliant,Item was good. It doesn't disappointed you. Good for students and office work. Camera is ok type.and battery backup is also ok type. Overall good product.,5
239,Fair,"Awsome at everything tho haven't tried any games.
But without games awesome.
Oh ya the speaker is not that powerful. But it gives it's best.",3
240,Simply awesome,"That camera....omg
Everything else is just fine",5
241,Worth every penny,Very Good Laptop For Students,5
242,Good choice,Good product but it produce heat more frewuently,4
243,Worth the money,good looking and performance also good,4
244,Excellent,"Bought it on BB sale for 24K, on this price it gives more than value. Performance, display, sound (only for one room ) is good. No issues.",5
245,Perfect product!,Great deal on this price range ... design is very good and performance is also good,5
246,Super!,I totally satisfied with this laptop,5
247,Awesome,Very nice laptop but display quality ok,5
248,Don't waste your money,"Very worst product.
Battery life is very poor. It doesn't last long for 2 hrs also even after full charge.",1
249,Simply awesome,Good product,5
250,Nice,"Review after 2day used
camera quality not good
speaker also not very good.
otherwise good product under this price segment.
fast speed.",3
251,Must buy!,"Looks perfect for my academic purpose as of now. One issue I am having is regarding the keyboard colour, it is similar colored as the body and the contrast is less. I managed it by buying an keyboard protector which was black in colour 😀. Will update the review after a few months of usage.",5
252,Terrific purchase,Best laptop for student who wants to learn Linux .,5
253,Good choice,Value for money. Best for students. 🙀,4
254,Fabulous!,Very good product 👌thank you Flipkart,5
255,Nice product,Really good experience,4
256,Just wow!,Very good laptop and it is value of money,5
257,Worth the money,"The laptop is good in terms of performance but battery backup could have been better, I am writing this review after using it for a week. Otherwise a decent product.",4
