,Review_title,Review_text,Ratings
94,Best product,I feel Fingurprint scanner and toch screen sould be added in the model feturs. Fibre body makes model too delicate.,5.0 out of 5 stars
95,Love It,Great Boot up time.<br>Fast laptop.<br>Keys are nice.<br>Works perfectly well for light users.,5.0 out of 5 stars
96,Good,Nice one,5.0 out of 5 stars
97,,,
98,,,
99,Great deal,Perfect for office works. Got it for Rs.41k. Worth it,5.0 out of 5 stars
100,Futureproof laptop for office/everyday use,"Bought it for my wife's office work and general home use. Good specs. Lightweight. Windows and office 2021 out of the box, working fine. (You need to activate using the email id used in Amazon ordering).<br><br>Specs are good enough to last for atleast 5-6 years for general home use and office use. Monitor and speakers are average. Overall good value for money.",5.0 out of 5 stars
101,Good looks and budget laptop colour is also very nice,Good colour and looks budget laptop good speed . Nice packing and good warranty support . Received before time and,5.0 out of 5 stars
102,Abyss color is very nice and value for money,Abyss blue color is very nice and value for money product. Performance is very good. 250 nits display is very nice,5.0 out of 5 stars
103,Good,Light weight  good product and looking nice laptop nice colour battry back is good<br>Processing is very fast ..thanks lenovo,5.0 out of 5 stars
104,Good,Nice product value for money,5.0 out of 5 stars
105,,,
106,Decent Budget Laptop with good specs,Overall Laptop is good just got it in hands will write the full review in 30 days .will recommend to go for it . Device is pretty decent in this price range,4.0 out of 5 stars
107,Very nice and easy to carry also,Evening things is fine accept Mac cafe antivirus only for one month. It should be one year.,4.0 out of 5 stars
108,Initially Laptop was working smoothly but after 3 to 4 days its window gets corrupted.,Battery life is approx to 4 hours,4.0 out of 5 stars
109,Best value product.,Best product.,4.0 out of 5 stars
110,Nice one,Nice one,4.0 out of 5 stars
111,Le lo yar lenovo sahi hai,&nbsp;Great 👍,4.0 out of 5 stars
112,great product,"i have just purchased last week Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen 14"" (35.56cm) FHD Thin &amp; Light Laptop with preloaded window 11 &amp; ms office the speed of labtop is being great and we can feel the light body weight and overall you must purchase this product.",4.0 out of 5 stars
113,All good except the charger design,"The pins of the charger are fixed with the adaptor box. The adaptor box is bulky, so you if you connect the charger on a wall plug point, it can't hold on. Very poor charger design.<br>Otherwise it meets my expectation.",4.0 out of 5 stars
114,Good product... Like it.,Nice product. Good to use,4.0 out of 5 stars
115,bht acchi laptop h.. speed v acchi h,very good laptop on this price,4.0 out of 5 stars
116,,,
117,,,
118,Good product with horrible battery life bad speakers!,This is a good light weight machine but has a couple of serious downsides.<br>1.  Battery life just sucks! Won't even last for more that 3 hours max in a single charge. Frequent charging is a pain.<br>2.  Speakers are just terrible. Very weak sound.<br><br>I have Lenovo T44 which is much better performer both in terms of battery life and sound despite being old machine.<br><br>I believe Asus would be a better choice in this price range even with AMZ Ryzen.,4.0 out of 5 stars
119,Good for office work,"&nbsp;Good laptop for office work and students can also use.<br>Dont expect full gaming on the laptop<br>Laptop is stylish , body is build of good quality.<br>Laptop boot time is 5 sec<br>Samsung ssd is faster",4.0 out of 5 stars
120,Everything is OK apart from Audio and Battery Life,Everything is OK apart from Battery life and Sound quality. I know we don't use Laptop's audio much but still its low though they have Dobly. When it comes to Battery they have fast charging...at the same time the battery will disappear like anything.,4.0 out of 5 stars
121,Very Good Laptop,Good Product. Battery life is 5hour(approx). Booting time 5 Sec. HD display. Sound is Also manageable. Speed of the Laptop is little bit less even during processing of large word document it becomes slower.,4.0 out of 5 stars
122,Best in price,Good battery life<br>Thin and light,4.0 out of 5 stars
123,,,
124,Bad battery backup when compared to the other laptop in this range.,Bad buy considering the battery backup.<br>Battery drains super fast even on simple task like document writing and internet browsing.<br>Forget about gaming or any other activity.,2.0 out of 5 stars
125,Not for display and audio quality. Good processor with decent speed..,Screen quality and audio quality is not at all good. However machine works really fast and good for Programming. Not able to set MS office,2.0 out of 5 stars
126,Hanging issue,Display quality is not good and tha processor also low range performance and even if we open Excel sheet it lages more and the battery is good,2.0 out of 5 stars
127,Product is good for minimum work,Numerical key is not working,2.0 out of 5 stars
128,"Screen quality is very low , better to don't buy","It's been 5 months I bought this Laptop, starting it worked fine . But now I am facing so many problems , It is hanging and touchpads are not working, I don't even used so many storage in it also don't know why it is happening",2.0 out of 5 stars
129,Battery only 2.30 hrs,Battery is only 2.30 hrs,2.0 out of 5 stars
130,if you looking to get laptop to work then dont buy this stuff. dont even go for ryzen thing.,if you looking to get laptop to work then dont buy this stuff. dont even go for ryzen thing. in this laptop some time all things get instantly stopped. so think about this. this is 40 days feedback.,2.0 out of 5 stars
131,Screen size,The screen size is not we 15.6 its 14 i hate this,2.0 out of 5 stars
132,"Buy only  if u got it under 41k , otherwise go for older brand","Display 5/1 very poor display<br>Build 5/2<br>Sound 5/3<br>Battery 5/3<br>Value for money 5/2<br>I got it 41k in prime day sale , n it's good only if u get it under 41k other wise go for other brands.",2.0 out of 5 stars
133,Charging issue and battery backup very poor,&nbsp;Battery percentage not increasing after 60% and battery backup is very poor,2.0 out of 5 stars
134,,,
135,,,
136,Worst product,One side speaker is crackling  and not working properly,2.0 out of 5 stars
137,Very disappointed with performance... 😞😞😞,"Screen battery is gd, but most important is performance. I don't feel that I upgrade from pentium 4 and 4gb of ram to Ryzen 5 with 8gb of ram... Ram always use 80%+ only I use chrome. I don't know if I do heavy task it will handle or not. Conclusion is its looking like I upgraded a high version but but very disappointed with performance...",2.0 out of 5 stars
138,MS office not available,It was written MS Office 2021 available that's why I bought but after i received my laptop it wasn't available so don't buy if your searching for Ms office,2.0 out of 5 stars
139,Better options are there in other brands.. Display is not good and heating issues,"Display is really not good, by spending 1 to 2 thousand extra we can get HP, display in HP are good.<br>Facing heating issue when opened multiple programs.  Build quality is also average.<br>Some problem is there in software also, suddenly nothing is working, forced to restart, in 2 weeks time i faced 3 times.",2.0 out of 5 stars
140,The worst display.,The worst display. I made a mistake there were better option in this price,2.0 out of 5 stars
141,when ur in a huddle of ur work it get restarts automatically,pls dont buy it was getting restarted unknowingly which is irritating when ur in ur work,2.0 out of 5 stars
142,Display screen is worst.,Display Screen is not good.,2.0 out of 5 stars
143,Ok Product till warranty oeriod.,"Lenovo Products are not with good built quality. When Motherboard failed and replaced under warranty, product warranty ends even if extended warranty exists Bcos the warranty is on Mother board serial number. Lenovo will then treat customer like a Dirt.",2.0 out of 5 stars
144,Overall Performance,Invest some more money and buy an HP laptop instea of lenovo<br>Battery Backup is not 7.5 hrs it is just 3hrs.<br>Performance is not very well due to ssd of low quality<br>Build quality is okay but have some flex.,2.0 out of 5 stars
145,,,
146,Mid Range Laptop,Camera quality is not as expected as good and Battery backup didn't meet the specifications as they provide 9.5 hours but even in browsing or keeping ON is also not reached 6 hours  if continue playing videos can expect 4 hours and display quality is quite good normal brightness and backlit keyboard not there for this model laptop. Rapid Charger is good in 1.5 hours full charged processor is awesome quick restart in 30 seconds. Overall good product,3.0 out of 5 stars
147,Nice Laptop,Laptop look is nice and for professional use except gaming it is good but when i am write a code trackpad getting struck.,3.0 out of 5 stars
148,"It's good, performance wise beast, when charging it's heated very hot","Laptop it's good performance super speed, brightness💡✨ ok, sound is low but crispy n clear, dolby sound good, battery biggest con is battery it's drained very fast, it's heated up when charging,<br>All over performance wise very good laptop",3.0 out of 5 stars
149,For students,Best for students for normal use if the the cost is under 30k then only buy if more not but .,3.0 out of 5 stars
150,The Screen Quality and Battery Capacity is very disappointing,Its okay !! Not upto the Mark one<br>Normal Very Average Laptop<br>Screen quality is really disappointing one<br>Have High Heating problem<br>Battery draining really fast,3.0 out of 5 stars
151,My laptop is start getting defect not happy,It’s just 2week and now only it stared better draining problem. Please help me out,3.0 out of 5 stars
152,Very basic,"It is very basic model, built quality meterial is not good, if you are going to use for normal surfing it is good, no lan support, check again before buying you can't return the product only replacement.",3.0 out of 5 stars
153,In this keyboard light is not available,Screen quality is good.. but this is not for gaming laptop..,3.0 out of 5 stars
154,Why is over heating issue while charging,Over heating issue while changing laptop or working with connected Charger,3.0 out of 5 stars
155,Disappointing,"Screen quality disappointing ,otherwise it's ok",3.0 out of 5 stars
156,,,
157,,,
158,Unhappy about screen brightness and sound,"Not happy with the screen brightness,colour is also very whitish,sound is very average one",3.0 out of 5 stars
159,Works fine,Battery backup is not good.,3.0 out of 5 stars
160,Bad screen quality,Pros-<br>1)Good processor but not for gaming<br>2)Does daily tasks smoothly<br>3)6 hrs battery backup<br>4)Windows 11 out of the box<br>5) Looks good professional<br><br>Cons-<br>1)Screen quality is very bad<br>2)Whitish tone on screen due to this difficulty in reading letters on screen.<br>3)heats up with games like pubg<br>4) No fingerprint scanner,3.0 out of 5 stars
161,If wanna use it for only gaming or entertainment purpose this Is not for you,,3.0 out of 5 stars
162,Finger print and camera,&nbsp;Bro it's mentioned that it have fingerprint but it's not so.<br>Also it doesn't have facial recognition.<br>I purchased it just because of fingerprint but it's not.<br>Totally upset.<br><br>And camera as mentioned it have 720p HD camera but it's not so. Camera is just fine.<br>Display is also not that much good.,3.0 out of 5 stars
163,Good but not very good,"Screen display is not good, facing issue with too much brightness and screen flickering sometimes. Facing difficulty to adjust to eye.<br>Battery backup just for  5 to 6 hours when not using regulary and keeping mostly on sleep.<br>Mouse click sometimes not working while selecting some option need to use keyboard",3.0 out of 5 stars
164,Average Laptop,"It sometimes hangs when work on multiple tabs, this started during the firt 2 months, the performance must have good of someone is buying for approximately 50k",3.0 out of 5 stars
165,Budget best laptop,Best laptop under this price section,3.0 out of 5 stars
166,Fingerprint no work,Fingerprint not working,3.0 out of 5 stars
167,Lags too much...,"I am writing after 1 week of use...<br>It's lags too much in daily tasks also.<br>I have not installed any such software.<br>I have just installed vs code and gcc compiler Nothing else and lags so much in very normal use.<br>Sometimes while playing video in any player,video gets lag continuously. Can't play video properly.<br>I don't know what's wrong with it....<br>I think u should choose another one it's lag is problem for long term, i made mistake buying this",3.0 out of 5 stars
168,,,
169,,,
170,Good laptop,"Good laptop but if you want a better laptop at the same price, go for MSI modern 15 ryzen 5.",3.0 out of 5 stars
171,,,
172,Pathetic product,"I bought this laptop in Aug, 2022 for very basic use like reading pdfs and using internet a little bit. In less than a month without having used enough the laptop is not working properly. It is very slow and takes too much time even for opening pdfs. Chrome doesn't even open. Now the return window is closed and I am stuck with this thing. I also called lenovo and asked them if a new laptop is supposed to work this way. Now they are saying I have to upgrade the ram. This is very disturbing. I hope Amazon can do something about it.",1.0 out of 5 stars
173,Camera not working,Not even replacement of product is offered. After taking all the effort at troubleshooting as directed by the customer service personnel the camera seems to be have been excluded from check. Not even shown in device manager. And I am left with a useless laptop that costs more than it should.Most Pathetic service and horrible experience ever,1.0 out of 5 stars
174,Laptop stopped working within 5 months of purchase,This lenovo laptop stopped working after 5 months of use. Its not at all turning ON after power button press. I paid 47k for this?? Extremely unhappy with Lenovo. Buy with ur own risk guys. I went twice to service center in last 5 months. 🙄,1.0 out of 5 stars
175,I have to give 0 rating for laptop&amp; amazon technical support team,"&nbsp;I got a dead laptop delivered on 26july immediately I asked them to replace they said we send a technician in 2days and on 28july technician didn't came to me he simply called me and ask me to send the video of laptop, I sent it on wtsp, he said problem will resolved and you will get replacement,after few hours of waiting and asked him about the update,he given another incharge no. I asked the incharge, he said we updated it as dead laptop u get replacement, but it doesn't updated , I called customer care they said we received a report that the laptop is perfect, I argued with him he said we send technician again on 30july,....it is incomplete till now.. I will update the issue after few days",1.0 out of 5 stars
176,Bad Battery,"Performance ok, but battery backup very very bad, Also hitting issue in normal use, screen quality also bad.",1.0 out of 5 stars
177,Over heating,It's getting over heat within 5min usease q,1.0 out of 5 stars
178,Battery performance is not good,Battery is not performing as per the standard and speaker quality is not good,1.0 out of 5 stars
179,Very slow processor,Worse than Celeron processor speed. Very slow even during excel work. Money lost.,1.0 out of 5 stars
180,Dont buy this cheater laptop,You cannot see the screen if tilted a bit and give strain.. do not buy this... I got cheate with reviews and FHD display claims.. now can't return only exchange unfortunately money gone!,1.0 out of 5 stars
181,Don't buy,Worst laptop.. false discription don't buy,1.0 out of 5 stars
182,,,
183,,,
184,Display pasting going break,Bad condition,1.0 out of 5 stars
185,Defective product,Screen is not working,1.0 out of 5 stars
186,Worst build quality and Lcd display for 48k not acceptable,Build quality is one of the worst. Never expected lenovo to go this low. If you cannot provide a good quality laptop then don't manufacture one. 48k is not a cheap price that we pay. And that too Lcd display what were they thinking.<br>Only positive i have is Adp for 2 years and extended warranty for 3 years which is must for these types of poorly built laptops,1.0 out of 5 stars
187,Teach padi not working,300000,1.0 out of 5 stars
188,1 week warranty machine,The machine is blacked out just the very next day after the return window period is closed and its lying down in the service center. Lasts for just 1 week....,1.0 out of 5 stars
189,Very poor quality product,This is a low quality product. All stuffs are of low quality except ryzen processor.<br><br>The back material of the screen is like butter. It's so soft and no protection is provided. without any hard stuff a mild touch can damage the screen. Mine already damaged.<br>I want a replacement. If repaired it may damage again. Can u guide me ..,1.0 out of 5 stars
190,1. The build quality is very poor and software have problems,"1. The build quality is very poor , hinge of laptop is very bad<br>2. And also laptop have software problem<br>3. Keyboard and thouchpad is not working properly",1.0 out of 5 stars
191,I order 8gb ram but in laptop 4gb ram ONLY,Very Very bad,1.0 out of 5 stars
192,Getting too slow,Getting too slow..,1.0 out of 5 stars
193,Screen quality is very poor,"Screen quality is very poor. I used IPS screen for my office already, so I could not use this poor screen laptop.",1.0 out of 5 stars
194,,,
195,,,
196,Not a worthy product.,&nbsp;Writing this review after using for 45 days.  The problems are 1) the system stuck for 1 min after starting. 2)Some times the trackpad response is very slow.  3)After installing the update I could able to login.,1.0 out of 5 stars
197,"Limited RAM, limited upgrade, no return policy","&nbsp;4gb ram soldired, 4gb ram slot in SO Dimm<br>We can upgrade upto 9.9gb by replacing 4gb ram. With 8gb ram .. we can't go for 16gb ram.<br>2gb ram for hardware reserved processor usage 2% ram usage 90% after upgrade also using chrome only<br><br>Out of 8gb ram only 5.6gb usauable.<br><br>not for gaming, only for kids online classes or limited professional usage due delicate build quality.",1.0 out of 5 stars
198,Viewing angle is very poor,Display quality is very poor even not able to see proper content i have to change the angle every time for different content,1.0 out of 5 stars
199,Battery has problem,"Battery is not getting charged beyond 60%, no proper sound",1.0 out of 5 stars
200,Worthless!!!,Poor built quality,1.0 out of 5 stars
201,Worst product ever used!!,"Screen hues are pathetic  and not acceptable in this price range. Moreover amazon also didn't exchange this product they are trying to befool customers by giving replacement as an option, don't fall into the trap.",1.0 out of 5 stars
202,Very weak battery life,Only charges up to 60% and takes a lot of time to charge .,1.0 out of 5 stars
203,Battery performance not good. product  quality good,6 core 12 theard lenovo laptop but<br>Hitting issue,1.0 out of 5 stars
204,Defected piece delivered,Worst product,1.0 out of 5 stars
